subjID	group	trial	choice	rt	gain	loss
1	pt	47	2	0	0	-1
1	pt	48	1	0	0	0
1	pt	49	3	0	0	0
1	pt	50	1	0	0	0
1	pt	51	3	0	0	0
1	pt	52	3	0	1	0
1	pt	53	3	0	1	0
1	pt	54	1	0	0	0
1	pt	55	2	0	0	-1
1	pt	56	3	0	1	0
1	pt	57	1	0	1	-1
1	pt	58	3	0	1	0
1	pt	59	2	0	0	-1
1	pt	60	3	0	0	0
1	pt	61	3	0	1	0
1	pt	62	3	0	0	0
1	pt	63	2	0	0	0
1	pt	64	2	0	0	0
1	pt	65	1	0	0	-1
1	pt	66	3	0	1	0
1	pt	67	3	0	0	0
1	pt	68	2	0	0	0
1	pt	69	3	0	0	0
1	pt	70	2	0	0	0
1	pt	71	3	0	0	0
1	pt	72	1	0	0	-1
1	pt	73	2	0	0	0
1	pt	74	2	0	0	0
1	pt	75	3	0	1	0
1	pt	76	1	0	0	0
1	pt	77	2	0	0	-1
1	pt	78	3	0	0	0
1	pt	79	3	0	0	0
1	pt	80	3	0	0	0
1	pt	81	2	0	0	0
1	pt	82	1	0	0	-1
1	pt	83	2	0	0	0
1	pt	84	3	0	0	0
1	pt	85	3	0	0	0
1	pt	86	2	0	0	0
1	pt	87	2	0	0	0
1	pt	88	2	0	0	0
1	pt	89	2	0	1	0
1	pt	90	3	0	0	0
1	pt	91	1	0	0	0
1	pt	92	1	0	0	-1
1	pt	93	3	0	0	0
1	pt	94	2	0	0	0
1	pt	95	3	0	0	-1
1	pt	96	2	0	0	0
1	pt	97	2	0	0	0
1	pt	98	1	0	0	0
1	pt	99	1	0	0	0
2	pt	0	1	0	1	0
2	pt	1	1	0	1	0
2	pt	2	3	0	0	0
2	pt	3	1	0	1	0
2	pt	4	1	0	1	0
2	pt	5	3	0	0	0
2	pt	6	2	0	0	-1
2	pt	7	1	0	1	0
2	pt	8	3	0	0	0
2	pt	9	2	0	0	0
2	pt	10	2	0	0	0
2	pt	11	1	0	0	0
2	pt	12	3	0	1	0
2	pt	13	2	0	0	0
2	pt	14	3	0	0	0
2	pt	15	3	0	0	0
2	pt	16	1	0	0	0
2	pt	17	2	0	0	0
2	pt	18	3	0	0	0
2	pt	19	2	0	0	0
2	pt	20	2	0	0	0
2	pt	21	1	0	0	0
2	pt	22	3	0	0	0
2	pt	23	2	0	1	0
2	pt	24	3	0	0	0
2	pt	25	1	0	1	0
2	pt	26	3	0	0	0
2	pt	27	2	0	0	0
2	pt	28	3	0	1	0
2	pt	29	1	0	1	0
2	pt	30	1	0	0	0
2	pt	31	1	0	0	0
2	pt	32	2	0	0	0
2	pt	33	2	0	1	0
2	pt	34	1	0	1	0
2	pt	35	3	0	1	0
2	pt	36	3	0	0	-1
2	pt	37	2	0	0	0
2	pt	38	1	0	0	0
2	pt	39	2	0	1	0
2	pt	40	2	0	0	-1
2	pt	41	1	0	1	0
2	pt	42	3	0	0	0
2	pt	43	3	0	0	0
2	pt	44	1	0	0	0
2	pt	45	3	0	0	-1
2	pt	46	1	0	0	-1
2	pt	47	3	0	0	0
2	pt	48	3	0	0	0
2	pt	49	3	0	0	0
2	pt	50	3	0	0	0
2	pt	51	3	0	0	0
2	pt	52	1	0	0	-1
2	pt	53	2	0	0	-1
2	pt	54	3	0	1	0
2	pt	55	3	0	0	0
2	pt	56	3	0	1	0
2	pt	57	3	0	1	0
2	pt	58	3	0	1	0
2	pt	59	3	0	0	0
2	pt	60	1	0	0	0
2	pt	61	2	0	0	-1
